"id","code","reconcile","type","user_type/id","name","sat_group_id/id","nature","parent_id/id"
"__export__.account_account_142","1122001000","True","Receivable","account.data_account_type_receivable","CUENTAS POR COBRAR CLIENTES MXN","l10n_mx.g106_01","Deudora","__export__.account_account_70"
"__export__.account_account_71","1123","False","View","l10n_mx.account_type_view","CUENTAS POR COBRAR MONEDA EXTRANJERA","l10n_mx.g106_02","Deudora","__export__.account_account_27"
"__export__.account_account_407","1123001000","True","Receivable","account.data_account_type_receivable","CUENTAS POR COBRAR CLIENTES USD","l10n_mx.g106_02","Deudora","__export__.account_account_71"
"__export__.account_account_72","1124","False","View","l10n_mx.account_type_view","ESTIMACION CUENTAS INCOBRABLES","l10n_mx.g108","Deudora","__export__.account_account_27"
"__export__.account_account_146","1124001000","True","Regular","account.data_account_type_asset","ESTIMACION CUENTAS INCOBRABLES MXN","l10n_mx.g108_01","Deudora","__export__.account_account_72"
"__export__.account_account_147","1124002000","False","Regular","account.data_account_type_asset","ESTIMACION CUENTAS INCOBRABLES USD","l10n_mx.g108_02","Deudora","__export__.account_account_72"
"__export__.account_account_73","1125","False","View","l10n_mx.account_type_view","CUENTAS POR COBRAR EMPLEADOS","l10n_mx.g107","Deudora","__export__.account_account_27"
"__export__.account_account_148","1125001000","True","Receivable","account.data_account_type_receivable","CUENTAS POR COBRAR EMPLEADOS","l10n_mx.g107_01","Deudora","__export__.account_account_73"
"__export__.account_account_74","1126","False","View","l10n_mx.account_type_view","INTERESES POR COBRAR","l10n_mx.g106_05","Deudora","__export__.account_account_27"
"__export__.account_account_408","1126001000","True","Regular","account.data_account_type_asset","INTERESES POR COBRAR","l10n_mx.g106_05","Deudora","__export__.account_account_74"
"__export__.account_account_75","1127","False","View","l10n_mx.account_type_view","COMPAÑIAS AFILIADAS Y RELACIONADAS","l10n_mx.g188","Deudora","__export__.account_account_27"
"__export__.account_account_76","1128","False","View","l10n_mx.account_type_view","CUENTAS POR COBRAR ACCIONISTAS","l10n_mx.g107_02","Deudora","__export__.account_account_27"
"__export__.account_account_156","1128001000","False","Receivable","account.data_account_type_receivable","CUENTAS POR COBRAR SOCIOS","l10n_mx.g107_02","Deudora","__export__.account_account_76"
"__export__.account_account_77","1129","False","View","l10n_mx.account_type_view","OTRAS CUENTAS POR COBRAR","l10n_mx.g106_09","Deudora","__export__.account_account_27"
"__export__.account_account_157","1129001000","True","Regular","account.data_account_type_asset","ANTICIPO A PROVEEDORES","l10n_mx.g107_05","Deudora","__export__.account_account_77"
"__export__.account_account_163","1129003000","True","Receivable","account.data_account_type_receivable","DEUDORES DIVERSOS","l10n_mx.g107_05","Deudora","__export__.account_account_77"
"__export__.account_account_202","1129005000","False","Receivable","account.data_account_type_receivable","OTRAS CUENTAS POR COBRAR","l10n_mx.g106_09","Deudora","__export__.account_account_77"
"__export__.account_account_28","113","False","View","l10n_mx.account_type_view","INVENTARIOS","l10n_mx.g115","Deudora","__export__.account_account_10"
"__export__.account_account_78","1131","False","View","l10n_mx.account_type_view","INVENTARIOS NIF (C-4)","l10n_mx.g115","Deudora","__export__.account_account_28"
"__export__.account_account_165","1131001000","True","Regular","account.data_account_type_asset","ALMACEN DE MERCANCIAS","l10n_mx.g115_01","Deudora","__export__.account_account_78"
"__export__.account_account_437","1131002000","True","Regular","account.data_account_type_asset","ENTRADA DE MERCANCIAS","l10n_mx.g115_01","Deudora","__export__.account_account_78"
"__export__.account_account_438","1131003000","True","Regular","account.data_account_type_asset","SALIDA DE MERCANCIAS","l10n_mx.g115_01","Deudora","__export__.account_account_78"
"__export__.account_account_79","1134","False","View","l10n_mx.account_type_view","INVENTARIO EN TRANSITO","l10n_mx.g115_05","Deudora","__export__.account_account_28"
"__export__.account_account_169","1134001000","True","Regular","account.data_account_type_asset","MERCANCIA EN TRANSITO","l10n_mx.g115_01","Deudora","__export__.account_account_79"
"__export__.account_account_29","114","False","View","l10n_mx.account_type_view","GASTOS PAGADOS ANTICIPADO","l10n_mx.g109","Deudora","__export__.account_account_10"
"__export__.account_account_80","1141","False","View","l10n_mx.account_type_view","GASTOS PAGADOS ANTICIPADOS","l10n_mx.g109","Deudora","__export__.account_account_29"
"__export__.account_account_171","1141001000","False","Regular","account.data_account_type_asset","PUBLICIDAD","l10n_mx.g109_23","Deudora","__export__.account_account_80"
"__export__.account_account_172","1141002000","False","Regular","account.data_account_type_asset","SEGURO PREPAGADOS","l10n_mx.g109_01","Deudora","__export__.account_account_80"
"__export__.account_account_173","1141004000","False","Regular","account.data_account_type_asset","ALQUILERES","l10n_mx.g109_05","Deudora","__export__.account_account_80"
"__export__.account_account_30","115","False","View","l10n_mx.account_type_view","IMPUESTOS PAGADOS POR ANTICIPADOS","l10n_mx.g113","Deudora","__export__.account_account_10"
"__export__.account_account_81","1151","False","View","l10n_mx.account_type_view","IMPUESTOS","l10n_mx.g113","Deudora","__export__.account_account_30"
"__export__.account_account_174","1151001000","False","Regular","account.data_account_type_asset","ANTICIPOS AL ISR","l10n_mx.g113_02","Deudora","__export__.account_account_81"
